Phenotype	Sex	addboth_p	addboth_SNP	addboth_r2	addboth_inc_r2	add_p	add_SNP	add_r2	add_inc_r2	mash_p	mash_SNP	mash_r2	mash_inc_r2
Height	combined	0.01	 75,627 	0.6337	0.1013	1E-05	 2,765 	0.6061	0.0737	0.01	 31,073 	0.6334	0.1009
Height	female	0.01	 75,627 	0.2566	0.2056	1E-05	 3,067 	0.2100	0.1590	0.01	 34,885 	0.2652	0.2142
Height	male	0.01	 75,627 	0.2541	0.2075	1E-05	 2,463 	0.1908	0.1441	0.01	 27,262 	0.2495	0.2028
Testosterone	combined	1E-05	 573 	0.8158	0.0063	1E-05	 630 	0.8213	0.0118	1E-05	 658 	0.8212	0.0116
Testosterone	female	1E-08	 191 	0.0102	0.0005	1E-08	 105 	0.0178	0.0082	1E-08	 111 	0.0173	0.0076
Testosterone	male	1E-05	 573 	0.0694	0.0653	1E-05	 590 	0.0677	0.0636	1E-05	 503 	0.0668	0.0627
BMI	combined	0.01	 53,267 	0.0686	0.0566	0.01	 42,365 	0.0463	0.0343	1	 1,274,145 	0.0682	0.0562
BMI	female	0.01	 53,267 	0.0676	0.0604	0.01	 43,059 	0.0419	0.0346	1	 1,273,676 	0.0655	0.0582
BMI	male	0.01	 53,267 	0.0574	0.0546	0.01	 41,671 	0.0374	0.0346	0.01	 20,519 	0.0594	0.0566
IGF-1	combined	0.01	 48,406 	0.1367	0.0675	1E-05	 1,005 	0.1219	0.0526	0.01	 31,449 	0.1296	0.0603
IGF-1	female	0.01	 48,406 	0.1419	0.0584	1E-05	 1,032 	0.1327	0.0491	0.01	 31,722 	0.1351	0.0515
IGF-1	male	0.01	 48,406 	0.1222	0.0786	1E-05	 977 	0.1010	0.0574	0.01	 31,175 	0.1144	0.0708
Creatinine	combined	1E-05	 1,762 	0.2673	0.0116	1	 1,274,409 	0.2610	0.0053	1	 1,292,848 	0.2622	0.0065
Creatinine	female	1E-05	 1,762 	0.0235	0.0174	0.01	 45,022 	0.0169	0.0108	1	 1,292,663 	0.0197	0.0136
Creatinine	male	1E-08	 351 	0.0217	0.0146	1	 1,274,605 	0.0128	0.0057	1	 1,293,033 	0.0138	0.0067
Whole body fat mass	combined	0.01	 51,626 	0.1162	0.0521	0.01	 41,248 	0.0945	0.0304	1	 1,277,295 	0.1119	0.0477
Whole body fat mass	female	0.01	 51,626 	0.0582	0.0548	0.01	 42,108 	0.0353	0.0319	1	 1,276,908 	0.0540	0.0506
Whole body fat mass	male	0.01	 51,626 	0.0645	0.0573	0.01	 40,389 	0.0400	0.0328	0.01	 21,361 	0.0590	0.0518
Urate	combined	0.01	 44,762 	0.3322	0.0564	1E-05	 867 	0.3276	0.0518	0.01	 30,748 	0.3316	0.0558
Urate	female	1E-05	 1,722 	0.1480	0.1063	1E+05	 1,089 	0.1391	0.0974	0.01	 35,178 	0.1477	0.1060
Urate	male	0.01	 44,762 	0.0599	0.0586	1E+05	 646 	0.0520	0.0508	0.01	 26,318 	0.0573	0.0561
Arm fat free mass (L)	combined	0.01	 54,893 	0.6828	0.0260	0.01	 43,734 	0.6753	0.0186	0.01	 23,411 	0.6843	0.0276
Arm fat free mass (L)	female	0.01	 54,893 	0.0584	0.0552	0.01	 44,326 	0.0417	0.0386	0.01	 25,918 	0.0549	0.0518
Arm fat free mass (L)	male	0.01	 54,893 	0.0136	0.0943	0.01	 43,143 	0.1024	0.0606	0.01	 20,904 	0.1343	0.0925
Arm fat free mass (R)	combined	0.01	 54,853 	0.7322	0.0215	0.01	 44,624 	0.7248	0.0141	0.01	 28,640 	0.7338	0.0232
Arm fat free mass (R)	female	0.01	 54,853 	0.0866	0.0776	0.01	 45,571 	0.0553	0.0463	1	 1,279,486 	0.0686	0.0596
Arm fat free mass (R)	male	0.01	 54,853 	0.1459	0.0794	0.01	 43,678 	0.1140	0.0475	0.01	 23,331 	0.1488	0.0823
Waist:hip (bmi adj.)	combined	1E-05	 1,258 	0.5167	0.0133	0.01	 38,584 	0.5150	0.0116	0.01	 44,578 	0.5161	0.0127
Waist:hip (bmi adj.)	female	1E-05	 1,258 	0.0636	0.0425	1E-05	 993 	0.0728	0.0516	1E-05	 846 	0.0701	0.0490
Waist:hip (bmi adj.)	male	1	 1,273,464 	0.0578	0.0161	0.01	 36,404 	0.0552	0.0135	1	 1,290,704 	0.0583	0.0166
Diastolic BP	combined	0.01	 41,817 	0.0466	0.0192	1	 35,780 	0.0378	0.0104	1	 1,284,177 	0.0444	0.0170
Diastolic BP	female	0.01	 41,817 	0.0309	0.0240	0.01	 37,370 	0.0225	0.0156	1	 1,283,575 	0.0308	0.0239
Diastolic BP	male	0.01	 41,817 	0.0171	0.0159	0.01	 34,190 	0.0080	0.0068	1	 1,284,778 	0.0129	0.0117
Systolic BP	combined	0.01	 42,101 	0.1360	0.0205	0.01	 36,224 	0.1262	0.0108	1	 1,284,994 	0.1308	0.0154
Systolic BP	female	0.01	 42,101 	0.1636	0.0248	0.01	 37,911 	0.1544	0.0157	1	 1,284,231 	0.1592	0.0204
Systolic BP	male	0.01	 42,101 	0.0811	0.0173	0.01	 34,537 	0.0709	0.0071	0.01	 23,874 	0.0754	0.0117
RBC count	combined	0.01	 47,967 	0.3223	0.0611	1E-05	 974 	0.3084	0.0472	1E-05	 1,621 	0.2981	0.0369
RBC count	female	0.01	 47,967 	0.1023	0.0895	1E-05	 1,105 	0.0928	0.0800	0.01	 39,894 	0.1003	0.0876
RBC count	male	0.01	 47,967 	0.0967	0.0766	1E-05	 843 	0.0767	0.0566	1E-05	 2,160 	0.0470	0.0267
Weight	combined	0.01	 54,109 	0.2740	0.0570	0.01	 42,456 	0.2524	0.0354	0.01	 25,172 	0.2638	0.0468
Weight	female	0.01	 54,109 	0.0728	0.0721	0.01	 43,053 	0.0463	0.0457	0.01	 26,626 	0.0586	0.0579
Weight	male	0.01	 54,109 	0.0785	0.0728	0.01	 41,860 	0.0502	0.0446	0.01	 23,718 	0.0668	0.0611
Calcium	combined	1E-05	 965 	0.0475	0.0383	1E-05	 440 	0.0391	0.0299	1E-05	 359 	0.0401	0.0309
Calcium	female	1E-05	 965 	0.0654	0.0378	1E-05	 462 	0.0560	0.0284	1E-05	 370 	0.0579	0.0302
Calcium	male	1E-05	 965 	0.0550	0.0396	1E-05	 418 	0.0472	0.0319	1E-05	 349 	0.0474	0.0321
Total protein	combined	0.01	 43,020 	0.0469	0.0408	0.01	 36,585 	0.0269	0.0207	0.01	 27,477 	0.0394	0.0333
Total protein	female	0.01	 43,020 	0.0412	0.0401	1E-05	 573 	0.0229	0.0218	0.01	 28,798 	0.0342	0.0331
Total protein	male	0.01	 43,020 	0.0562	0.0419	0.01	 36,025 	0.0385	0.0242	0.01	 26,155 	0.0480	0.0338
